"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25569,"3174091001","JAGAKARSA",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA",75047,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA",6607,100,"Oct","2021","Oct_2021",c(-3624882.27631688, 669358.367083694)
25574,"3174091006","CIPEDAK",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK",45772,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK",3344,50,"Oct","2021","Oct_2021",c(-3626861.71505986, 665443.305573707)
25576,"3174101002","BINTARO",317410,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO",63832,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO",3886,82,"Oct","2021","Oct_2021",c(-3632682.15625199, 676097.054095282)
25580,"3175011001","PISANGAN BARU",317501,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PISANGAN BARU",38845,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PISANGAN BARU",2533,46,"Oct","2021","Oct_2021",c(-3619448.07916988, 684621.294171408)
25584,"3175011005","KEBON MANGGIS",317501,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KEBON MANGGIS",20178,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KEBON MANGGIS",1660,31,"Oct","2021","Oct_2021",c(-3621244.05320978, 685113.778956908)
25585,"3175011006","UTAN KAYU SELATAN",317501,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU SELATAN",40810,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU SELATAN",3639,72,"Oct","2021","Oct_2021",c(-3619484.05771282, 685718.553769946)
25589,"3175021004","JATINEGARA KAUM",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","JATINEGARA KAUM",30189,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATINEGARA KAUM",1680,36,"Oct","2021","Oct_2021",c(-3615257.24357796, 686162.230725369)
25592,"3175021007","JATI",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","JATI",39694,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATI",2890,57,"Oct","2021","Oct_2021",c(-3615903.04430785, 687155.462142834)
25598,"3175031006","CIPINANG MUARA",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG MUARA",67965,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG MUARA",4869,113,"Oct","2021","Oct_2021",c(-3616648.19301488, 682875.074874785)
25599,"3175031007","CIPINANG BESAR SELATAN",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR SELATAN",43554,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR SELATAN",2590,44,"Oct","2021","Oct_2021",c(-3617713.02985638, 682442.739456431)
25600,"3175031008","CIPINANG BESAR UTARA",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR UTARA",59863,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR UTARA",2781,57,"Oct","2021","Oct_2021",c(-3617968.92772651, 683833.917146097)
25602,"3175041002","TENGAH",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","TENGAH",54617,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KAMPUNG TENGAH",3437,74,"Oct","2021","Oct_2021",c(-3619030.55633523, 674430.593176411)
25603,"3175041003","DUKUH",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","DUKUH",30640,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","DUKUH",2108,37,"Oct","2021","Oct_2021",c(-3617485.21621997, 673690.813614901)
25605,"3175041005","BALEKAMBANG",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","BALEKAMBANG",35376,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","BALE KAMBANG",2128,34,"Oct","2021","Oct_2021",c(-3620900.74078654, 675367.635325144)
25606,"3175041006","CILILITAN",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","CILILITAN",49559,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","CILILITAN",3492,70,"Oct","2021","Oct_2021",c(-3619538.3399576, 677949.724163436)
25611,"3175051004","KALISARI",317505,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","KALISARI",52424,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","KALISARI",4423,89,"Oct","2021","Oct_2021",c(-3620657.41008696, 668113.547664204)
25620,"3175071001","DUREN SAWIT",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","DUREN SAWIT",74118,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","DUREN SAWIT",5432,108,"Oct","2021","Oct_2021",c(-3612952.22836562, 682169.799353002)
25622,"3175071003","KLENDER",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","KLENDER",86925,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","KLENDER",4572,107,"Oct","2021","Oct_2021",c(-3614233.95551198, 684093.524264998)
25626,"3175071007","PONDOK KOPI",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK KOPI",43303,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK KOPI",2540,63,"Oct","2021","Oct_2021",c(-3609651.03582896, 683461.889583399)
25628,"3175081002","PINANGRANTI",317508,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","PINANGRANTI",33350,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","PINANG RANTI",2349,40,"Oct","2021","Oct_2021",c(-3616621.00951066, 674413.494454042)
25629,"3175081003","KEBON PALA",317508,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","KEBON PALA",57830,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","KEBON PALA",3968,73,"Oct","2021","Oct_2021",c(-3617852.2848425, 678926.359976394)
25632,"3175091001","CIRACAS",317509,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","CIRACAS",78952,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","CIRACAS",5781,113,"Oct","2021","Oct_2021",c(-3617381.79939022, 669768.975293676)
25637,"3175101001","CIPAYUNG",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CIPAYUNG",31625,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CIPAYUNG",3568,39,"Oct","2021","Oct_2021",c(-3615066.35507354, 669380.359357097)
25395,"3171031001","KEMAYORAN",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN",26177,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN",2633,42,"Oct","2021","Oct_2021",c(-3622932.02890974, 690590.445045825)
25402,"3171031008","UTAN PANJANG",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG",37531,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG",1966,36,"Oct","2021","Oct_2021",c(-3621756.03928446, 690586.253266454)
25587,"3175021002","PISANGAN TIMUR",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","PISANGAN TIMUR",50332,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PISANGAN TIMUR",3355,48,"Oct","2021","Oct_2021",c(-3617988.55588974, 685152.141674308)
25443,"3172031004","RAWA BADAK UTARA",317203,"DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK UTARA",43557,"DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK UTARA",2247,42,"Oct","2021","Oct_2021",c(-3616463.31069423, 696961.768030683)
25469,"3173021005","TANJUNG DUREN SELATAN",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN",30306,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN",2798,47,"Oct","2021","Oct_2021",c(-3630261.26022772, 688141.768976666)
25470,"3173021006","JELAMBAR BARU",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU",46743,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU",3224,40,"Oct","2021","Oct_2021",c(-3630710.69481707, 692134.062642173)
25396,"3171031002","KEBON KOSONG",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG",37472,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG",3216,50,"Oct","2021","Oct_2021",c(-3621913.7315699, 691534.679080854)
25398,"3171031004","SERDANG",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SERDANG",37782,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SERDANG",2825,59,"Oct","2021","Oct_2021",c(-3620922.24784386, 691489.052939449)
25399,"3171031005","GUNUNG SAHARI SELATAN",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN",24164,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN",1974,35,"Oct","2021","Oct_2021",c(-3623163.21842577, 691209.257507179)
25401,"3171031007","SUMUR BATU",317103,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU",28834,"DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU",2343,44,"Oct","2021","Oct_2021",c(-3619580.17639735, 690981.160532467)
25388,"3171011005","KEBON KELAPA",317101,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA",12858,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA",978,12,"Oct","2021","Oct_2021",c(-3625668.08289307, 690474.32722151)
25389,"3171011006","DURI PULO",317101,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO",25256,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO",1459,29,"Oct","2021","Oct_2021",c(-3628292.14901187, 690394.28172707)
25392,"3171021003","KARTINI",317102,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI",28269,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI",1902,36,"Oct","2021","Oct_2021",c(-3624668.59705507, 692009.899966273)
25393,"3171021004","GUNUNG SAHARI UTARA",317102,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA",20677,"DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA",1746,38,"Oct","2021","Oct_2021",c(-3623983.97497684, 692534.94997876)
25384,"3171011001","GAMBIR",317101,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR",3088,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR",1233,13,"Oct","2021","Oct_2021",c(-3625273.64267305, 688893.393372337)
25385,"3171011002","CIDENG",317101,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG",19216,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG",1754,31,"Oct","2021","Oct_2021",c(-3627715.01004427, 689170.556097667)
25387,"3171011004","PETOJO SELATAN",317101,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN",18388,"DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN",1684,25,"Oct","2021","Oct_2021",c(-3626639.25352773, 689010.510386682)
25404,"3171041002","KENARI",317104,"DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI",11582,"DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI",1166,20,"Oct","2021","Oct_2021",c(-3622508.19261795, 686832.540875752)
25405,"3171041003","PASEBAN",317104,"DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",29659,"DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",2561,37,"Oct","2021","Oct_2021",c(-3621731.59996146, 686900.703938872)
25406,"3171041004","KRAMAT",317104,"DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT",36350,"DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT",2006,45,"Oct","2021","Oct_2021",c(-3622643.57234296, 688148.137041721)
25407,"3171041005","KWITANG",317104,"DKI JAKARTA","JAKARTA PUSAT","SENEN","KWITANG",19303,"DKI JAKARTA","JAKARTA PUSAT","SENEN","KWITANG",1222,24,"Oct","2021","Oct_2021",c(-3623441.65663941, 688129.88443887)
25410,"3171051002","CEMPAKA PUTIH BARAT",317105,"DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH BARAT",44664,"DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH BARAT",4113,75,"Oct","2021","Oct_2021",c(-3620379.52025296, 688764.9283457)
25413,"3171061002","PEGANGSAAN",317106,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN",29254,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN",1972,49,"Oct","2021","Oct_2021",c(-3622232.67586128, 685730.064292003)
25415,"3171061004","GONDANGDIA",317106,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA",4956,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA",670,8,"Oct","2021","Oct_2021",c(-3624768.62387311, 686899.597497892)
25416,"3171061005","KEBON SIRIH",317106,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH",15702,"DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH",988,15,"Oct","2021","Oct_2021",c(-3624710.54750152, 687782.965220466)
25417,"3171071001","GELORA",317107,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA",4002,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA",520,7,"Oct","2021","Oct_2021",c(-3628211.8484747, 683440.860215232)
25418,"3171071002","BENDUNGAN HILIR",317107,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","BENDUNGAN HILIR",27144,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","BENDUNGAN HILIR",2079,40,"Oct","2021","Oct_2021",c(-3627296.91648169, 684514.55547501)
25419,"3171071003","KARET TENGSIN",317107,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN",24318,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN",1686,24,"Oct","2021","Oct_2021",c(-3626326.31394771, 684784.737498216)
25422,"3171071006","KEBON KACANG",317107,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG",27319,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG",1641,41,"Oct","2021","Oct_2021",c(-3626408.73937283, 686981.760967494)
25423,"3171071007","KAMPUNG BALI",317107,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI",14889,"DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI",730,17,"Oct","2021","Oct_2021",c(-3626617.13091308, 687641.70852446)
25424,"3171081001","JOHAR BARU",317108,"DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU",46777,"DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU",3988,64,"Oct","2021","Oct_2021",c(-3621219.49690167, 687949.092953721)
25426,"3171081003","GALUR",317108,"DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR",23288,"DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR",1113,22,"Oct","2021","Oct_2021",c(-3621531.27008991, 689167.693260615)
25427,"3171081004","TANAH TINGGI",317108,"DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI",48219,"DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI",2097,42,"Oct","2021","Oct_2021",c(-3622298.57948464, 688728.539841034)
25428,"3172011001","PENJARINGAN",317201,"DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN",109567,"DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN",4706,67,"Oct","2021","Oct_2021",c(-3629252.41991255, 695768.719460956)
25430,"3172011003","KAPUK MUARA",317201,"DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA",43025,"DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA",2782,28,"Oct","2021","Oct_2021",c(-3634070.29254901, 695392.958806262)
25431,"3172011004","PEJAGALAN",317201,"DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN",90327,"DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN",6027,79,"Oct","2021","Oct_2021",c(-3631131.42234807, 693824.94717711)
25433,"3172021001","TANJUNG PRIOK",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","TANJUNG PRIOK",43623,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","TANJUNG PRIOK",2461,48,"Oct","2021","Oct_2021",c(-3618991.7948972, 698176.730459215)
25434,"3172021002","SUNTER JAYA",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER JAYA",77553,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER JAYA",6072,101,"Oct","2021","Oct_2021",c(-3618939.36558202, 692623.210838156)
25438,"3172021006","SUNTER AGUNG",317202,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG",87165,"DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG",5826,111,"Oct","2021","Oct_2021",c(-3620982.43723611, 694235.221171031)
25447,"3172041002","SUKAPURA",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA",69673,"DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA",2852,50,"Oct","2021","Oct_2021",c(-3612278.24350855, 693510.688891572)
25448,"3172041003","MARUNDA",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA",35650,"DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA",1196,20,"Oct","2021","Oct_2021",c(-3608300.91811473, 698452.733991959)
25450,"3172041005","SEMPER TIMUR",317204,"DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR",44903,"DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR",2302,46,"Oct","2021","Oct_2021",c(-3611881.92051454, 697185.790471558)
25472,"3173031001","TAMAN SARI",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI",17509,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI",1402,22,"Oct","2021","Oct_2021",c(-3625782.34729317, 691943.765089181)
25473,"3173031002","KRUKUT",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KRUKUT",23821,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KRUKUT",1261,16,"Oct","2021","Oct_2021",c(-3627021.22397455, 691299.037544747)
25457,"3172061002","PEGANGSAAN DUA",317206,"DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA",59468,"DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA",4429,69,"Oct","2021","Oct_2021",c(-3613861.19156365, 691290.859578031)
25458,"3172061003","KELAPA GADING BARAT",317206,"DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT",42264,"DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT",4093,60,"Oct","2021","Oct_2021",c(-3616483.46758051, 692309.677323108)
25460,"3173011002","DURI KOSAMBI",317301,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI",94759,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI",4790,78,"Oct","2021","Oct_2021",c(-3639466.32362407, 688543.037631116)
25461,"3173011003","RAWA BUAYA",317301,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","RAWA BUAYA",78405,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","RAWA BUAYA",3521,62,"Oct","2021","Oct_2021",c(-3637231.97863525, 689840.907641887)
25462,"3173011004","KEDAUNG KALI ANGKE",317301,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE",40666,"DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE",2146,36,"Oct","2021","Oct_2021",c(-3634384.83396878, 691358.812164866)
25474,"3173031003","MAPHAR",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR",19914,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR",1283,28,"Oct","2021","Oct_2021",c(-3626117.34010956, 691477.85373241)
25475,"3173031004","TANGKI",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI",15992,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI",1150,19,"Oct","2021","Oct_2021",c(-3626018.88982047, 692811.767621848)
25465,"3173021001","GROGOL",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL",20792,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL",2312,41,"Oct","2021","Oct_2021",c(-3629671.09423955, 690513.123289874)
25467,"3173021003","TOMANG",317302,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG",36093,"DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG",2479,36,"Oct","2021","Oct_2021",c(-3629300.96759042, 689211.340506467)
25479,"3173031008","PINANGSIA",317303,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","PINANGSIA",13136,"DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","PINANGSIA",802,10,"Oct","2021","Oct_2021",c(-3627055.86808274, 693939.608650366)
25480,"3173041001","TAMBORA",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","TAMBORA",12805,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","TAMBORA",789,21,"Oct","2021","Oct_2021",c(-3627900.63935345, 692888.82767327)
25481,"3173041002","KALI ANYAR",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR",30229,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR",1171,24,"Oct","2021","Oct_2021",c(-3629069.69088022, 691091.899369767)
25482,"3173041003","DURI UTARA",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA",24495,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA",1287,24,"Oct","2021","Oct_2021",c(-3628325.0392816, 691584.951960668)
25483,"3173041004","TANAH SEREAL",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","TANAH SEREAL",32249,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","TANAH SEREAL",1955,23,"Oct","2021","Oct_2021",c(-3627712.63275038, 691728.642294404)
25485,"3173041006","JEMBATAN BESI",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI",37262,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI",1557,27,"Oct","2021","Oct_2021",c(-3629291.53393064, 691839.085492824)
25486,"3173041007","ANGKE",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE",36428,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE",1836,34,"Oct","2021","Oct_2021",c(-3629611.53453812, 692650.579490636)
25487,"3173041008","JEMBATAN LIMA",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA",25893,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA",1364,20,"Oct","2021","Oct_2021",c(-3628567.8887416, 692800.308551779)
25488,"3173041009","PEKOJAN",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","PEKOJAN",28357,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","PEKOJAN",1811,33,"Oct","2021","Oct_2021",c(-3628597.08743591, 693797.491050577)
25489,"3173041010","ROA MALAKA",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","ROA MALAKA",4003,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","ROA MALAKA",277,8,"Oct","2021","Oct_2021",c(-3627893.24677827, 693977.860943399)
25490,"3173041011","DURI SELATAN",317304,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN",17493,"DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN",865,18,"Oct","2021","Oct_2021",c(-3628275.10413934, 690968.198149184)
25588,"3175021003","CIPINANG",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","CIPINANG",48703,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","CIPINANG",3599,76,"Oct","2021","Oct_2021",c(-3616539.09653907, 685389.390322031)
