"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25491,"3173051001","KEBON JERUK",317305,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEBON JERUK",65682,"DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEBON JERUK",5091,87,"Oct","2021","Oct_2021",c(-3632241.04158133, 685923.882227825)
25498,"3173061001","KALIDERES",317306,"DKI JAKARTA","JAKARTA BARAT","KALIDERES","KALIDERES",88802,"DKI JAKARTA","JAKARTA BARAT","KALI DERES","KALIDERES",4741,84,"Oct","2021","Oct_2021",c(-3642139.52674725, 691091.585000431)
25499,"3173061002","SEMANAN",317306,"DKI JAKARTA","JAKARTA BARAT","KALIDERES","SEMANAN",88097,"DKI JAKARTA","JAKARTA BARAT","KALI DERES","SEMANAN",2642,54,"Oct","2021","Oct_2021",c(-3641614.06701735, 689138.07429271)
25500,"3173061003","TEGAL ALUR",317306,"DKI JAKARTA","JAKARTA BARAT","KALIDERES","TEGAL ALUR",103199,"DKI JAKARTA","JAKARTA BARAT","KALI DERES","TEGAL ALUR",4535,80,"Oct","2021","Oct_2021",c(-3640931.68473656, 695725.609785959)
25501,"3173061004","KAMAL",317306,"DKI JAKARTA","JAKARTA BARAT","KALIDERES","KAMAL",65858,"DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL",1615,39,"Oct","2021","Oct_2021",c(-3642599.38593536, 697562.508561284)
25504,"3173071002","SLIPI",317307,"DKI JAKARTA","JAKARTA BARAT","PAL MERAH","SLIPI",20457,"DKI JAKARTA","JAKARTA BARAT","PALMERAH","SLIPI",2147,30,"Oct","2021","Oct_2021",c(-3628432.87721673, 686351.431840908)
25505,"3173071003","KOTA BAMBU UTARA",317307,"DKI JAKARTA","JAKARTA BARAT","PAL MERAH","KOTA BAMBU UTARA",31468,"DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU UTARA",1635,34,"Oct","2021","Oct_2021",c(-3628225.71211478, 687748.164485112)
25506,"3173071004","JATIPULO",317307,"DKI JAKARTA","JAKARTA BARAT","PAL MERAH","JATIPULO",35771,"DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO",1769,49,"Oct","2021","Oct_2021",c(-3628285.27809858, 688374.141386887)
25507,"3173071005","KEMANGGISAN",317307,"DKI JAKARTA","JAKARTA BARAT","PAL MERAH","KEMANGGISAN",39419,"DKI JAKARTA","JAKARTA BARAT","PALMERAH","KEMANGGISAN",3034,61,"Oct","2021","Oct_2021",c(-3629778.08210031, 686802.513364267)
25511,"3173081003","MERUYA SELATAN",317308,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN",39306,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN",3150,46,"Oct","2021","Oct_2021",c(-3637175.62643086, 683728.939591959)
25516,"3174011002","TEBET BARAT",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET BARAT",25585,"DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET BARAT",2948,38,"Oct","2021","Oct_2021",c(-3621826.77032064, 681426.180803376)
25513,"3173081005","JOGLO",317308,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO",49663,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO",3566,41,"Oct","2021","Oct_2021",c(-3636423.61359277, 682492.874552257)
25514,"3173081006","KEMBANGAN SELATAN",317308,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN",32372,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN",2295,26,"Oct","2021","Oct_2021",c(-3636633.76228047, 686813.779816716)
25515,"3174011001","TEBET TIMUR",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET TIMUR",21645,"DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET TIMUR",2054,35,"Oct","2021","Oct_2021",c(-3620981.86606101, 681637.319967696)
25597,"3175031005","CIPINANG CEMPEDAK",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG CEMPEDAK",39817,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG CEMPEDAK",2588,54,"Oct","2021","Oct_2021",c(-3618585.52768678, 681395.062203538)
25517,"3174011003","MENTENG DALAM",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM",44673,"DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM",3090,51,"Oct","2021","Oct_2021",c(-3622887.08767542, 681828.065382008)
25519,"3174011005","BUKIT DURI",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","BUKIT DURI",42224,"DKI JAKARTA","JAKARTA SELATAN","TEBET","BUKIT DURI",2385,32,"Oct","2021","Oct_2021",c(-3620745.26178213, 683296.264035765)
25521,"3174011007","MANGGARAI",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI",35357,"DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI",1802,25,"Oct","2021","Oct_2021",c(-3621741.69291849, 684254.149168983)
25525,"3174021004","KARET",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","KARET",11747,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET",1030,11,"Oct","2021","Oct_2021",c(-3624927.69695126, 684012.263360662)
25536,"3174041002","JATI PADANG",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","JATI PADANG",45928,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","JATI PADANG",3422,59,"Oct","2021","Oct_2021",c(-3623651.68988874, 674228.80958622)
25532,"3174031003","PELA MAMPANG",317403,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","PELA MAMPANG",53495,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","PELA MAMPANG",3965,66,"Oct","2021","Oct_2021",c(-3625844.94096881, 679374.305021589)
25533,"3174031004","TEGAL PARANG",317403,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","TEGAL PARANG",39961,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","TEGAL PARANG",2460,43,"Oct","2021","Oct_2021",c(-3624277.38188864, 679437.492667318)
25534,"3174031005","KUNINGAN BARAT",317403,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","KUNINGAN BARAT",15788,"DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","KUNINGAN BARAT",990,9,"Oct","2021","Oct_2021",c(-3625325.37296814, 681051.684206955)
25535,"3174041001","PASAR MINGGU",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU",30208,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU",2923,51,"Oct","2021","Oct_2021",c(-3622537.55351106, 674171.752323637)
25537,"3174041003","CILANDAK TIMUR",317404,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","CILANDAK TIMUR",31320,"DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","CILANDAK TIMUR",2888,31,"Oct","2021","Oct_2021",c(-3626051.48156557, 673738.292133483)
25543,"3174051002","PONDOK PINANG",317405,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","PONDOK PINANG",67733,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","PONDOK PINANG",4769,74,"Oct","2021","Oct_2021",c(-3630621.94548175, 675392.336662334)
25545,"3174051004","GROGOL UTARA",317405,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA",52471,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA",3036,59,"Oct","2021","Oct_2021",c(-3630085.88131596, 683186.166934941)
25547,"3174051006","KEBAYORAN LAMA SELATAN",317405,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA SELATAN",50130,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA SELATAN",3513,71,"Oct","2021","Oct_2021",c(-3630803.96718555, 678257.360879963)
25548,"3174061001","CILANDAK BARAT",317406,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CILANDAK BARAT",62119,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CILANDAK BARAT",5388,67,"Oct","2021","Oct_2021",c(-3628102.83758622, 673679.56658002)
25549,"3174061002","LEBAK BULUS",317406,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","LEBAK BULUS",44645,"DKI JAKARTA","JAKARTA SELATAN","CILANDAK","LEBAK BULUS",3955,54,"Oct","2021","Oct_2021",c(-3630379.23788434, 672102.786204075)
25553,"3174071001","MELAWAI",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","MELAWAI",3173,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","MELAWAI",462,5,"Oct","2021","Oct_2021",c(-3627848.76710628, 679609.965618826)
25554,"3174071002","GUNUNG",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GUNUNG",11180,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GUNUNG",2357,25,"Oct","2021","Oct_2021",c(-3629178.33209804, 680784.65761961)
25555,"3174071003","KRAMAT PELA",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","KRAMAT PELA",17564,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","KRAMAT PELA",1067,10,"Oct","2021","Oct_2021",c(-3629141.41580799, 679625.988056651)
25556,"3174071004","SELONG",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SELONG",3381,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SELONG",398,6,"Oct","2021","Oct_2021",c(-3627646.42931882, 681119.696893338)
25557,"3174071005","RAWA BARAT",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","RAWA BARAT",6646,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","RAWA BARAT",596,8,"Oct","2021","Oct_2021",c(-3626506.56273443, 680918.164469838)
25560,"3174071008","PETOGOGAN",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PETOGOGAN",14002,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PETOGOGAN",1077,15,"Oct","2021","Oct_2021",c(-3626698.98794886, 680006.454341493)
25562,"3174071010","CIPETE UTARA",317407,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","CIPETE UTARA",41755,"DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","CIPETE UTARA",2814,51,"Oct","2021","Oct_2021",c(-3627412.98863617, 677522.629798976)
25563,"3174081001","PANCORAN",317408,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PANCORAN",23908,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PANCORAN",2045,32,"Oct","2021","Oct_2021",c(-3622784.29088947, 679711.710601886)
25566,"3174081004","DUREN TIGA",317408,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","DUREN TIGA",34105,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","DUREN TIGA",2444,37,"Oct","2021","Oct_2021",c(-3623435.48207712, 678565.062880263)
25567,"3174081005","PENGADEGAN",317408,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PENGADEGAN",25641,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PENGADEGAN",2189,38,"Oct","2021","Oct_2021",c(-3620859.73066967, 679608.876605396)
25568,"3174081006","CIKOKO",317408,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","CIKOKO",13083,"DKI JAKARTA","JAKARTA SELATAN","PANCORAN","CIKOKO",1132,13,"Oct","2021","Oct_2021",c(-3621022.11152395, 680160.014998759)
25570,"3174091002","SRENGSENG SAWAH",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","SRENGSENG SAWAH",70377,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","SRENGSENG SAWAH",5185,81,"Oct","2021","Oct_2021",c(-3623977.79586223, 666357.743700919)
25571,"3174091003","CIGANJUR",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIGANJUR",46102,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIGANJUR",4046,54,"Oct","2021","Oct_2021",c(-3626167.50470532, 667782.427926772)
25573,"3174091005","TANJUNG BARAT",317409,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","TANJUNG BARAT",48232,"DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","TANJUNG BARAT",3204,56,"Oct","2021","Oct_2021",c(-3621352.94782665, 672017.195706055)
25575,"3174101001","PESANGGRAHAN",317410,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PESANGGRAHAN",33717,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PESANGGRAHAN",2429,34,"Oct","2021","Oct_2021",c(-3633428.61752469, 677816.111312228)
25577,"3174101003","PETUKANGAN UTARA",317410,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN UTARA",65647,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN UTARA",3987,47,"Oct","2021","Oct_2021",c(-3634730.02581316, 681265.117253492)
25586,"3175021001","PULO GADUNG",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","PULO GADUNG",42357,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PULO GADUNG",2609,46,"Oct","2021","Oct_2021",c(-3615760.20618652, 688682.053825879)
25579,"3174101005","ULUJAMI",317410,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","ULUJAMI",50117,"DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","ULUJAMI",3210,55,"Oct","2021","Oct_2021",c(-3633056.78265516, 680485.034684352)
25581,"3175011002","UTAN KAYU UTARA",317501,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU UTARA",34735,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU UTARA",2311,60,"Oct","2021","Oct_2021",c(-3619675.0777178, 686754.421509339)
25582,"3175011003","KAYU MANIS",317501,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KAYU MANIS",31146,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KAYU MANIS",2384,40,"Oct","2021","Oct_2021",c(-3620383.97068783, 685771.181168155)
25583,"3175011004","PALMERIAM",317501,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PALMERIAM",24456,"DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PAL MERIAM",1671,30,"Oct","2021","Oct_2021",c(-3620806.19917999, 685629.348378237)
25590,"3175021005","RAWAMANGUN",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","RAWAMANGUN",46034,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","RAWAMANGUN",3638,74,"Oct","2021","Oct_2021",c(-3617801.03236693, 686845.752538963)
25591,"3175021006","KAYU PUTIH",317502,"DKI JAKARTA","JAKARTA TIMUR","PULOGADUNG","KAYU PUTIH",49147,"DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","KAYU PUTIH",3993,62,"Oct","2021","Oct_2021",c(-3617783.23112567, 689013.046027892)
25593,"3175031001","KAMPUNG MELAYU",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","KAMPUNG MELAYU",31954,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","KAMPUNG MELAYU",1494,18,"Oct","2021","Oct_2021",c(-3620391.05506903, 683869.263045689)
25594,"3175031002","BIDARA CINA",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BIDARA CINA",45194,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BIDARA CINA",3030,63,"Oct","2021","Oct_2021",c(-3619470.95378101, 681553.17329676)
25595,"3175031003","BALI MESTER",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BALI MESTER",11695,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BALI MESTER",864,18,"Oct","2021","Oct_2021",c(-3619691.58677681, 683608.460535759)
25601,"3175041001","KRAMATJATI",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","KRAMATJATI",42031,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KRAMAT JATI",3403,68,"Oct","2021","Oct_2021",c(-3618595.69267424, 676501.157723984)
25627,"3175081001","MAKASAR",317508,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","MAKASAR",42584,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","MAKASAR",3544,62,"Oct","2021","Oct_2021",c(-3617779.37473134, 676351.017048222)
25604,"3175041004","BATU AMPAR",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","BATU AMPAR",58890,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","BATU AMPAR",3820,77,"Oct","2021","Oct_2021",c(-3619818.61538259, 675805.538972156)
25607,"3175041007","CAWANG",317504,"DKI JAKARTA","JAKARTA TIMUR","KRAMATJATI","CAWANG",40643,"DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","CAWANG",3209,42,"Oct","2021","Oct_2021",c(-3619293.29932094, 679510.037720895)
25608,"3175051001","GEDONG",317505,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","GEDONG",44099,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","GEDONG",3299,65,"Oct","2021","Oct_2021",c(-3619770.55168176, 672820.143167331)
25609,"3175051002","BARU",317505,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","BARU",29389,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","BARU",2682,41,"Oct","2021","Oct_2021",c(-3621271.22321904, 669676.863778374)
25610,"3175051003","CIJANTUNG",317505,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","CIJANTUNG",50571,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","CIJANTUNG",3910,84,"Oct","2021","Oct_2021",c(-3619798.83046626, 670120.227007407)
25612,"3175051005","PEKAYON",317505,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","PEKAYON",53410,"DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","PEKAYON",3309,47,"Oct","2021","Oct_2021",c(-3618822.46771553, 667203.7850642)
25613,"3175061001","JATINEGARA",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","JATINEGARA",105365,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","JATINEGARA",4144,73,"Oct","2021","Oct_2021",c(-3613331.29623024, 686150.84587196)
25614,"3175061002","RAWA TERATE",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","RAWA TERATE",31569,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","RAWA TERATE",1015,20,"Oct","2021","Oct_2021",c(-3612932.48192427, 688691.365038572)
25615,"3175061003","PENGGILINGAN",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","PENGGILINGAN",120083,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","PENGGILINGAN",5567,107,"Oct","2021","Oct_2021",c(-3610850.71655849, 686061.715658572)
25616,"3175061004","CAKUNG TIMUR",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","CAKUNG TIMUR",73270,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","CAKUNG TIMUR",2892,55,"Oct","2021","Oct_2021",c(-3608502.09666388, 690757.606857141)
25617,"3175061005","PULO GEBANG",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","PULO GEBANG",117589,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","PULO GEBANG",5110,103,"Oct","2021","Oct_2021",c(-3608505.49641218, 686316.821823841)
25618,"3175061006","UJUNG MENTENG",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","UJUNG MENTENG",36390,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","UJUNG MENTENG",1801,28,"Oct","2021","Oct_2021",c(-3607446.54384874, 688845.838026961)
25619,"3175061007","CAKUNG BARAT",317506,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","CAKUNG BARAT",72686,"DKI JAKARTA","JAKARTA TIMUR","CAKUNG","CAKUNG BARAT",2105,26,"Oct","2021","Oct_2021",c(-3611162.86023788, 690282.43870773)
25621,"3175071002","PONDOK BAMBU",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK BAMBU",75193,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK BAMBU",5539,108,"Oct","2021","Oct_2021",c(-3614944.36026539, 682009.436255653)
25623,"3175071004","PONDOK KELAPA",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK KELAPA",86731,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","PONDOK KELAPA",5404,98,"Oct","2021","Oct_2021",c(-3610829.1506864, 681158.0356489)
25624,"3175071005","MALAKA SARI",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","MALAKA SARI",33599,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","MALAKA SARI",2864,68,"Oct","2021","Oct_2021",c(-3611537.90029308, 683624.587540896)
25625,"3175071006","MALAKA JAYA",317507,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","MALAKA JAYA",38024,"DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","MALAKA JAYA",3073,59,"Oct","2021","Oct_2021",c(-3610682.98571805, 683671.346849725)
25630,"3175081004","HALIM PERDANA KUSUMA",317508,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","HALIM PERDANA KUSUMA",35653,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","HALIM PERDANA KUSUMAH",4187,51,"Oct","2021","Oct_2021",c(-3615748.02514258, 677806.120268164)
25631,"3175081005","CIPINANG MELAYU",317508,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","CIPINANG MELAYU",52190,"DKI JAKARTA","JAKARTA TIMUR","MAKASAR","CIPINANG MELAYU",3416,70,"Oct","2021","Oct_2021",c(-3614180.78890312, 679984.629463343)
25633,"3175091002","CIBUBUR",317509,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","CIBUBUR",79968,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","CIBUBUR",5910,75,"Oct","2021","Oct_2021",c(-3616350.50106478, 665784.923367289)
25634,"3175091003","KELAPA DUA WETAN",317509,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","KELAPA DUA WETAN",56330,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","KELAPA DUA WETAN",4492,69,"Oct","2021","Oct_2021",c(-3616392.88478297, 667863.097527848)
25635,"3175091004","SUSUKAN",317509,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","SUSUKAN",46394,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","SUSUKAN",3284,69,"Oct","2021","Oct_2021",c(-3618513.34278576, 670978.236903697)
25636,"3175091005","RAMBUTAN",317509,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","RAMBUTAN",45470,"DKI JAKARTA","JAKARTA TIMUR","CIRACAS","RAMBUTAN",2947,53,"Oct","2021","Oct_2021",c(-3617536.19271162, 672277.396795323)
25638,"3175101002","CILANGKAP",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CILANGKAP",33198,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CILANGKAP",3308,31,"Oct","2021","Oct_2021",c(-3613109.59755059, 669127.413442308)
25639,"3175101003","PONDOK RANGGON",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","PONDOK RANGGON",30351,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","PONDOK RANGGON",2774,18,"Oct","2021","Oct_2021",c(-3613016.806862, 666341.491934175)
25640,"3175101004","MUNJUL",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","MUNJUL",28722,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","MUNJUL",2771,36,"Oct","2021","Oct_2021",c(-3614474.71652683, 666830.306726339)
25641,"3175101005","SETU",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","SETU",24722,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","SETU",1966,14,"Oct","2021","Oct_2021",c(-3612628.10614939, 671770.155655528)
25642,"3175101006","BAMBU APUS",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","BAMBU APUS",31774,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","BAMBU APUS",3006,31,"Oct","2021","Oct_2021",c(-3614140.09325186, 671865.069221107)
25643,"3175101007","LUBANG BUAYA",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","LUBANG BUAYA",77650,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","LUBANG BUAYA",5701,69,"Oct","2021","Oct_2021",c(-3614150.84573296, 674195.080706282)
25644,"3175101008","CEGER",317510,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CEGER",23042,"DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CEGER",2067,29,"Oct","2021","Oct_2021",c(-3615399.24780803, 672257.789299123)
